window_end,active_games,bucket0_ratio
37300,2119.26,0.83
37400,2035.56,0.83
37500,1971.32,0.83
37600,1943.15,0.83
37700,1898.24,0.83
37800,1871.29,0.83
37900,1856.91,0.83
38000,1829.92,0.83
38100,1812.93,0.83
38200,1783.95,0.83
38300,1736.24,0.83
38400,1692.22,0.83
38500,1658.89,0.83
38600,1603.51,0.83
38700,1562.16,0.83
38800,1463.43,0.83
38900,1337.94,0.83
39000,1279.48,0.83
39100,1236.99,0.83
39200,1158.40,0.82
39300,774.23,0.82
39400,2171.01,0.83
39500,2152.43,0.83
39600,2123.46,0.83
39700,2110.26,0.83
39800,2104.14,0.83
39900,2091.96,0.83
40000,2080.34,0.84
40100,2067.51,0.83
40200,2041.80,0.83
40300,2030.96,0.83
40400,1989.87,0.83
40500,1945.18,0.83
40600,1915.53,0.83
40700,1888.08,0.84
40800,1842.98,0.83
40900,1801.02,0.83
41000,1420.87,0.83
41100,1433.89,0.83
41200,1215.47,0.83
41300,982.63,0.83
41400,909.85,0.82
41500,1601.22,0.83
41600,2163.35,0.86
41700,2149.45,0.85
41800,2148.00,0.85
41900,2149.44,0.85
42000,2148.54,0.85
42100,2152.14,0.85
42200,2148.54,0.85
42300,2154.84,0.85
42400,2151.24,0.85
42500,2149.62,0.85
42600,2150.16,0.85
42700,2150.70,0.85
42800,2148.18,0.85
42900,2148.72,0.85
43000,2149.44,0.84
43100,2151.06,0.85
43200,2149.44,0.85
43300,2150.88,0.85
43400,2148.36,0.86
43500,2148.54,0.85
43600,2146.47,0.85
43700,2150.59,0.84
43800,2123.82,0.85
43900,2022.45,0.84
44000,1976.99,0.85
44100,1911.49,0.85
44200,1897.03,0.85
44300,1891.00,0.85
44400,1898.60,0.85
44500,1900.76,0.84
44600,1891.00,0.85
44700,1891.00,0.85
44800,1904.36,0.85
44900,1903.22,0.84
45000,1891.24,0.85
45100,1874.41,0.84
45200,1697.75,0.85
45300,1527.63,0.84
45400,1460.70,0.84
45500,1280.08,0.84
45600,974.01,0.83
45700,794.14,0.84
45800,1725.76,0.82
45900,2168.73,0.85
46000,2106.93,0.85
46100,2017.70,0.85
46200,1974.96,0.85
46300,1931.86,0.85
46400,1903.37,0.85
46500,1887.15,0.85
46600,1862.70,0.85
46700,1849.47,0.85
46800,1837.32,0.85
46900,1846.03,0.85
47000,1699.80,0.85
47100,1372.15,0.84
47200,1479.62,0.85
47300,1242.65,0.85
47400,1383.73,0.85
47500,1338.73,0.85
47600,1210.00,0.84
47700,985.97,0.84
47800,775.24,0.85
47900,795.20,0.83
48000,2162.66,0.85
48100,2106.42,0.84
48200,2006.81,0.85
48300,1992.39,0.85
48400,2005.98,0.85
48500,1958.52,0.85
48600,1999.20,0.85
48700,1956.53,0.85
48800,1760.25,0.84
48900,1677.90,0.84
49000,1817.11,0.84
49100,1716.18,0.85
49200,1692.92,0.84
49300,1558.36,0.84
49400,1617.31,0.84
49500,1595.19,0.84
49600,1485.94,0.84
49700,1467.46,0.84
49800,2004.46,0.84
49900,1380.09,0.84
50000,1827.47,0.85
50100,1807.77,0.84
50200,2148.88,0.85
50300,2074.99,0.85
50400,2011.62,0.85
50500,1930.25,0.84
50600,1883.22,0.84
50700,1840.64,0.84
50800,1820.78,0.84
50900,1804.95,0.84
51000,1776.49,0.84
51100,1782.32,0.84
51200,1779.02,0.84
51300,1776.80,0.84
51400,1777.40,0.84
51500,1774.00,0.84
51600,1775.08,0.84
51700,1774.00,0.84
51800,1774.00,0.84
51900,1764.75,0.84
52000,1573.34,0.84
52100,896.66,0.83
52200,958.09,0.81
52300,2182.81,0.83
52400,2150.96,0.85
52500,2103.94,0.85
52600,2056.79,0.85
52700,2008.63,0.84
52800,1951.28,0.84
52900,1887.04,0.85
53000,1796.54,0.85
53100,1702.85,0.84
53200,1663.13,0.84
53300,1716.84,0.84
53400,1696.73,0.84
53500,1658.68,0.84
53600,1681.84,0.84
53700,1652.06,0.84
53800,1649.91,0.84
53900,1318.14,0.84
54000,1215.10,0.83
54100,1049.09,0.83
54200,914.93,0.84
54300,900.77,0.84
54400,1424.66,0.82
54500,2153.84,0.84
54600,2108.17,0.84
54700,1991.80,0.84
54800,1923.71,0.83
54900,1862.50,0.84
55000,1846.96,0.83
55100,1705.34,0.82
55200,1646.86,0.83
55300,1664.83,0.83
55400,1659.33,0.83
55500,1671.47,0.82
55600,1747.68,0.83
55700,1644.53,0.83
55800,1684.29,0.83
55900,1653.74,0.83
56000,1658.37,0.83
56100,1694.89,0.83
56200,1745.22,0.82
56300,1510.38,0.82
56400,1209.30,0.81
56500,1271.83,0.83
56600,1608.19,0.83
56700,2149.84,0.85
56800,2099.94,0.84
56900,2051.24,0.85
57000,1962.95,0.85
57100,1889.77,0.85
57200,1831.87,0.84
57300,1807.72,0.84
57400,1710.83,0.84
57500,1687.03,0.84
57600,1644.02,0.84
57700,1585.95,0.84
57800,1564.04,0.84
57900,1502.33,0.84
58000,1380.99,0.84
58100,1313.03,0.84
58200,1266.97,0.84
58300,1247.00,0.84
58400,1061.89,0.83
58500,1087.51,0.84
58600,1037.36,0.84
58700,884.29,0.82
58800,2180.40,0.82
58900,2152.46,0.84
59000,2110.05,0.84
59100,2068.73,0.84
59200,2012.68,0.84
59300,1982.26,0.84
59400,1948.58,0.84
59500,1943.59,0.83
59600,1936.46,0.84
59700,1918.01,0.84
59800,1838.38,0.84
59900,1809.49,0.84
60000,1759.46,0.83
60100,1681.21,0.83
60200,1491.98,0.83
60300,1531.94,0.84
60400,1463.49,0.84
60500,1258.95,0.83
60600,1300.39,0.84
60700,993.04,0.83
60800,974.69,0.83
60900,1509.85,0.82
61000,2168.34,0.83
61100,2143.61,0.84
61200,2077.77,0.84
61300,2066.81,0.85
61400,2000.41,0.84
61500,1966.75,0.84
61600,1981.49,0.84
61700,1945.02,0.84
61800,1976.73,0.84
61900,1972.55,0.84
62000,1938.36,0.84
62100,1932.96,0.84
62200,1947.90,0.83
62300,1962.79,0.84
62400,1924.77,0.84
62500,1937.00,0.85
62600,1949.47,0.84
62700,1931.96,0.84
62800,1994.07,0.83
62900,1921.87,0.84
63000,1972.75,0.83
63100,2160.89,0.85
63200,2112.60,0.85
63300,2046.06,0.85
63400,2001.85,0.85
63500,1978.82,0.85
63600,1955.58,0.85
63700,1927.88,0.85
63800,1914.84,0.85
63900,1914.17,0.85
64000,1853.76,0.85
64100,1705.35,0.84
64200,1635.51,0.84
64300,1633.29,0.85
64400,1376.88,0.84
64500,1509.88,0.85
64600,1250.55,0.85
64700,1229.22,0.84
64800,1129.26,0.85
64900,990.52,0.84
65000,893.52,0.84
65100,530.85,0.83
65200,2153.12,0.82
65300,2177.32,0.85
65400,2093.58,0.85
65500,2015.11,0.85
65600,1976.82,0.85
65700,1934.45,0.85
