window_end,active_games,bucket0_ratio
65300,932.66,0.46
65400,921.70,0.45
65500,903.35,0.44
65600,891.49,0.44
65700,930.90,0.44
65800,977.47,0.47
65900,974.04,0.47
66000,1003.53,0.48
66100,1008.79,0.49
66200,1028.88,0.50
66300,1018.52,0.49
66400,1019.41,0.50
66500,1017.30,0.50
66600,1006.00,0.48
66700,974.84,0.46
66800,927.44,0.44
66900,918.04,0.43
67000,913.93,0.43
67100,922.66,0.44
67200,927.13,0.43
67300,939.86,0.44
67400,956.93,0.44
67500,957.45,0.45
67600,981.80,0.47
67700,996.42,0.48
67800,1003.07,0.49
67900,1012.47,0.50
68000,976.42,0.48
68100,970.23,0.47
68200,955.11,0.47
68300,942.09,0.47
68400,951.46,0.47
68500,933.83,0.47
68600,947.53,0.47
68700,960.11,0.47
68800,964.86,0.47
68900,965.69,0.47
69000,998.08,0.48
69100,1000.00,0.48
69200,965.90,0.47
69300,911.12,0.47
69400,906.83,0.47
69500,905.90,0.48
69600,897.56,0.48
69700,1058.44,0.50
69800,1113.94,0.50
69900,1114.83,0.50
70000,1094.24,0.50
70100,1047.95,0.50
70200,968.32,0.50
70300,951.85,0.49
70400,941.25,0.48
70500,933.09,0.48
70600,923.70,0.47
70700,912.33,0.44
70800,911.11,0.44
70900,922.67,0.45
71000,953.38,0.47
71100,966.85,0.48
71200,1006.23,0.50
71300,991.52,0.50
71400,974.08,0.49
71500,972.22,0.48
71600,953.21,0.48
71700,953.29,0.47
71800,938.07,0.47
71900,930.00,0.46
72000,922.04,0.45
72100,909.28,0.44
72200,903.85,0.43
72300,918.31,0.45
72400,926.35,0.45
72500,933.22,0.46
72600,956.14,0.47
72700,954.56,0.47
72800,944.67,0.47
72900,974.52,0.48
73000,985.14,0.48
73100,976.16,0.49
73200,978.06,0.48
73300,971.53,0.47
73400,959.64,0.47
73500,944.92,0.46
73600,966.06,0.46
73700,972.98,0.47
73800,976.82,0.47
73900,983.53,0.46
74000,972.77,0.46
74100,963.17,0.46
74200,968.04,0.48
74300,974.39,0.49
74400,967.26,0.49
74500,941.50,0.48
74600,948.58,0.48
74700,950.73,0.47
74800,932.33,0.45
74900,940.04,0.46
75000,970.95,0.48
75100,975.13,0.48
75200,952.74,0.47
75300,938.49,0.47
75400,943.70,0.48
75500,933.05,0.47
75600,928.30,0.47
75700,980.71,0.49
75800,983.38,0.50
75900,964.37,0.49
76000,974.13,0.49
76100,978.45,0.49
76200,966.08,0.49
76300,1005.17,0.50
76400,1008.49,0.50
76500,1044.27,0.50
76600,1051.07,0.49
76700,1101.66,0.49
76800,1173.50,0.48
76900,1181.59,0.47
77000,1118.73,0.47
77100,1095.53,0.46
77200,1103.51,0.45
77300,1099.52,0.43
77400,1034.77,0.41
77500,972.67,0.41
77600,997.79,0.42
77700,995.70,0.41
77800,1029.38,0.42
77900,1010.21,0.41
78000,1007.94,0.41
78100,1040.34,0.42
78200,1031.47,0.43
78300,996.13,0.43
78400,1008.19,0.44
78500,1039.19,0.44
78600,1015.30,0.43
78700,997.86,0.42
78800,966.76,0.42
78900,1013.14,0.43
79000,997.34,0.42
79100,985.31,0.42
79200,985.96,0.42
79300,1026.64,0.44
79400,1034.23,0.44
79500,1021.13,0.44
79600,1016.90,0.46
79700,1009.31,0.47
79800,987.00,0.46
79900,977.83,0.46
80000,979.28,0.47
80100,967.57,0.47
80200,963.30,0.47
80300,935.41,0.45
80400,941.91,0.45
80500,936.06,0.47
80600,938.59,0.46
80700,889.69,0.45
80800,918.18,0.46
80900,941.57,0.49
81000,964.09,0.50
81100,1101.35,0.52
81200,1182.10,0.53
81300,1153.95,0.51
81400,1122.53,0.50
81500,1086.85,0.50
81600,998.17,0.49
81700,914.11,0.48
81800,902.55,0.47
81900,871.65,0.46
82000,872.47,0.46
82100,878.55,0.45
82200,861.09,0.44
82300,893.66,0.45
82400,963.38,0.49
82500,1030.37,0.52
82600,1071.99,0.56
82700,1078.14,0.57
82800,1073.77,0.57
82900,1047.22,0.55
83000,1030.76,0.55
83100,1060.06,0.55
83200,1031.43,0.55
83300,1067.43,0.53
83400,1096.94,0.52
83500,1059.03,0.52
83600,1259.96,0.54
83700,1334.19,0.53
83800,1389.64,0.52
83900,1355.81,0.50
84000,1313.78,0.48
84100,1261.11,0.47
84200,1172.16,0.46
84300,1076.27,0.44
84400,1029.52,0.44
84500,988.37,0.41
84600,936.99,0.39
84700,897.70,0.38
84800,878.28,0.36
84900,834.31,0.35
85000,818.89,0.36
85100,861.79,0.38
85200,921.31,0.42
85300,993.58,0.46
85400,1069.99,0.52
85500,1096.93,0.53
85600,1091.46,0.54
85700,1074.11,0.53
85800,1061.77,0.52
85900,1010.32,0.50
86000,972.50,0.48
86100,954.45,0.46
86200,914.93,0.44
86300,906.19,0.43
86400,894.47,0.42
86500,916.36,0.43
86600,960.34,0.44
86700,963.77,0.45
86800,1013.18,0.47
86900,1028.70,0.49
87000,1063.48,0.51
87100,1049.57,0.52
87200,1046.06,0.52
87300,1025.73,0.51
87400,1002.49,0.49
87500,965.16,0.48
87600,967.55,0.47
87700,965.23,0.46
87800,936.57,0.45
87900,958.37,0.45
88000,939.78,0.44
88100,946.40,0.45
88200,947.34,0.45
88300,957.77,0.46
88400,963.38,0.48
88500,969.58,0.49
88600,972.40,0.49
88700,968.01,0.49
88800,957.63,0.48
88900,944.47,0.47
89000,947.77,0.47
89100,961.81,0.48
89200,953.73,0.48
89300,973.46,0.48
89400,960.57,0.46
89500,973.67,0.47
89600,972.76,0.48
89700,979.93,0.48
89800,990.57,0.50
89900,998.34,0.50
90000,983.28,0.49
90100,987.75,0.49
90200,1005.23,0.50
90300,974.77,0.49
90400,975.80,0.49
90500,980.90,0.48
90600,997.53,0.48
90700,994.37,0.47
90800,982.01,0.46
90900,984.75,0.47
91000,963.87,0.46
91100,955.72,0.45
91200,961.75,0.46
91300,981.59,0.48
91400,1005.92,0.50
91500,1018.42,0.51
91600,1010.17,0.49
91700,1041.87,0.50
91800,1068.42,0.51
91900,1040.17,0.50
92000,1030.08,0.50
92100,1010.25,0.49
92200,972.59,0.48
92300,956.30,0.47
92400,915.22,0.45
92500,864.33,0.44
92600,867.25,0.44
92700,927.80,0.47
92800,938.45,0.47
92900,1090.99,0.51
93000,1268.06,0.53
93100,1237.72,0.52
93200,1213.65,0.51
93300,1163.89,0.51
93400,1065.50,0.51
93500,966.26,0.50
93600,869.41,0.49
93700,914.63,0.50
93800,986.62,0.51
93900,961.64,0.49
94000,898.92,0.46
94100,925.57,0.46
94200,953.47,0.47
94300,975.34,0.50
94400,1063.78,0.55
94500,1085.48,0.58
94600,1043.34,0.55
94700,1037.68,0.53
94800,1042.38,0.52
94900,1060.60,0.52
95000,1038.12,0.50
95100,1001.70,0.48
95200,984.57,0.47
95300,944.16,0.46
95400,939.74,0.45
95500,914.50,0.44
95600,917.50,0.45
95700,959.46,0.48
95800,943.33,0.49
95900,930.17,0.51
96000,916.63,0.55
96100,902.70,0.57
96200,893.52,0.60
96300,874.17,0.62
