window_end,active_games,bucket0_ratio
61000,2716.68,0.05
61100,2606.82,0.04
61200,2537.25,0.04
61300,2524.59,0.05
61400,2335.63,0.04
61500,2350.29,0.04
61600,2301.75,0.04
61700,2181.91,0.04
61800,1981.82,0.04
61900,1941.49,0.03
62000,1879.05,0.04
62100,1859.00,0.03
62200,1799.84,0.03
62300,1819.26,0.03
62400,1569.63,0.04
62500,1431.23,0.03
62600,1427.71,0.05
62700,1374.07,0.05
62800,1305.48,0.05
62900,1313.91,0.06
63000,1266.80,0.06
63100,1337.36,0.08
63200,2362.68,0.09
63300,3336.14,0.07
63400,3243.20,0.06
63500,3215.43,0.07
63600,3140.23,0.07
63700,3064.86,0.07
63800,2982.13,0.06
63900,3299.36,0.05
64000,3277.44,0.05
64100,3298.25,0.05
64200,3247.30,0.05
64300,3189.34,0.05
64400,3143.72,0.06
64500,3096.66,0.04
64600,2970.50,0.05
64700,2877.35,0.05
64800,2804.98,0.05
64900,2707.83,0.05
65000,2713.51,0.05
65100,2881.37,0.05
65200,3022.41,0.05
65300,2971.68,0.05
65400,2967.25,0.05
65500,2857.03,0.05
65600,2826.36,0.05
65700,2855.08,0.05
65800,2844.96,0.05
65900,2891.27,0.05
66000,3077.40,0.05
66100,3241.56,0.05
66200,3210.93,0.04
66300,3162.87,0.04
66400,3069.65,0.04
66500,2973.47,0.04
66600,2916.62,0.04
66700,2837.34,0.04
66800,2738.78,0.04
66900,2646.00,0.04
67000,2576.22,0.04
67100,2556.22,0.04
67200,2464.96,0.04
67300,2433.00,0.04
67400,2313.27,0.04
67500,2238.00,0.04
67600,2168.09,0.04
67700,2003.93,0.04
67800,1939.24,0.04
67900,1867.91,0.04
68000,1784.95,0.04
68100,1749.39,0.04
68200,1722.45,0.04
68300,1746.00,0.04
68400,1712.58,0.04
68500,1671.87,0.05
68600,1596.96,0.04
68700,1504.11,0.05
68800,1508.77,0.05
68900,1427.05,0.05
69000,1607.16,0.06
69100,2951.54,0.06
69200,3127.66,0.04
69300,3076.81,0.03
69400,3054.00,0.04
69500,2952.54,0.03
69600,2869.25,0.03
69700,2769.05,0.04
69800,2676.74,0.03
69900,2625.50,0.03
70000,2572.70,0.03
70100,2884.69,0.03
70200,3081.47,0.03
70300,3018.99,0.03
70400,2985.04,0.03
70500,2922.12,0.03
70600,2843.62,0.03
70700,2822.11,0.03
70800,3031.65,0.04
70900,3038.38,0.04
71000,3023.74,0.04
71100,2994.82,0.04
71200,2941.40,0.04
71300,2902.14,0.04
71400,2772.16,0.04
71500,2709.78,0.04
71600,2617.92,0.04
71700,2549.95,0.04
71800,2515.40,0.03
71900,2382.67,0.04
72000,2288.06,0.04
72100,2288.29,0.04
72200,2241.50,0.04
72300,2221.54,0.04
72400,2176.77,0.04
72500,2125.48,0.04
72600,2095.25,0.04
72700,1979.75,0.04
72800,1925.52,0.04
72900,1907.17,0.05
73000,1844.69,0.05
73100,1763.55,0.05
73200,1755.62,0.05
73300,1729.80,0.05
73400,1777.46,0.06
73500,1890.45,0.08
73600,2176.20,0.09
73700,2934.06,0.08
73800,2934.29,0.07
73900,2905.73,0.07
74000,2898.49,0.07
74100,2906.28,0.07
74200,2833.57,0.06
74300,2679.11,0.06
74400,2563.38,0.06
74500,2489.24,0.06
74600,2506.11,0.06
74700,2443.92,0.06
74800,2290.42,0.06
74900,2147.00,0.06
